rank,lemma,frequency,core_band,language
1,der,46708,Core-1000,de
2,in,13197,Core-1000,de
3,ein,11431,Core-1000,de
4,und,10816,Core-1000,de
5,sein,10797,Core-1000,de
6,zu,6247,Core-1000,de
7,werden,5388,Core-1000,de
8,von,4674,Core-1000,de
9,mit,4573,Core-1000,de
10,haben,4560,Core-1000,de
11,an,4287,Core-1000,de
12,auf,4022,Core-1000,de
13,für,3875,Core-1000,de
14,sich,3664,Core-1000,de
15,es,3488,Core-1000,de
16,auch,2897,Core-1000,de
17,nicht,2881,Core-1000,de
18,bei,2684,Core-1000,de
19,sie,2450,Core-1000,de
20,als,2194,Core-1000,de
21,können,2064,Core-1000,de
22,dieser,2017,Core-1000,de
23,er,1961,Core-1000,de
24,ihr,1933,Core-1000,de
25,nach,1870,Core-1000,de
26,wie,1800,Core-1000,de
27,aus,1799,Core-1000,de
28,dass,1760,Core-1000,de
29,um,1675,Core-1000,de
30,jahr,1455,Core-1000,de
31,vor,1396,Core-1000,de
32,noch,1273,Core-1000,de
33,aber,1264,Core-1000,de
34,über,1197,Core-1000,de
35,oder,1173,Core-1000,de
36,so,1167,Core-1000,de
37,sollen,1126,Core-1000,de
38,geben,1105,Core-1000,de
39,ich,1031,Core-1000,de
40,wir,1029,Core-1000,de
41,mehr,1017,Core-1000,de
42,nur,999,Core-1000,de
43,neu,985,Core-1000,de
44,man,983,Core-1000,de
45,bis,941,Core-1000,de
46,gut,883,Core-1000,de
47,kommen,880,Core-1000,de
48,gegen,835,Core-1000,de
49,kein,803,Core-1000,de
50,sagen,785,Core-1000,de
51,gehen,768,Core-1000,de
52,anderer,736,Core-1000,de
53,durch,729,Core-1000,de
54,wollen,723,Core-1000,de
55,unter,716,Core-1000,de
56,groß,710,Core-1000,de
57,erster,684,Core-1000,de
58,stehen,658,Core-1000,de
59,machen,655,Core-1000,de
60,wenn,637,Core-1000,de
61,schon,630,Core-1000,de
62,wieder,626,Core-1000,de
63,alle,621,Core-1000,de
64,doch,613,Core-1000,de
65,dann,588,Core-1000,de
66,seit,577,Core-1000,de
67,euro,575,Core-1000,de
68,nun,555,Core-1000,de
69,zwei,554,Core-1000,de
70,weit,541,Core-1000,de
71,vieler,537,Core-1000,de
72,prozent,535,Core-1000,de
73,aller,529,Core-1000,de
74,bereits,517,Core-1000,de
75,mensch,516,Core-1000,de
76,was,495,Core-1000,de
