rank,lemma,frequency,core_band,language
4001,versetzen,9,Core-5000,de
4002,influencer,9,Core-5000,de
4003,zweieinhalb,9,Core-5000,de
4004,überwachen,9,Core-5000,de
4005,rentner,9,Core-5000,de
4006,flexibilität,9,Core-5000,de
4007,tabelle,9,Core-5000,de
4008,geduld,9,Core-5000,de
4009,rentenpaket,9,Core-5000,de
4010,müs,9,Core-5000,de
4011,einbinden,9,Core-5000,de
4012,wehen,9,Core-5000,de
4013,vorarlberger,9,Core-5000,de
4014,ausdrücklich,9,Core-5000,de
4015,bruch,9,Core-5000,de
4016,derart,9,Core-5000,de
4017,vordergrund,9,Core-5000,de
4018,süd,9,Core-5000,de
4019,jahrestag,9,Core-5000,de
4020,brasilianisch,9,Core-5000,de
4021,defekt,9,Core-5000,de
4022,minderheit,9,Core-5000,de
4023,ehrenamt,9,Core-5000,de
4024,stillstand,9,Core-5000,de
4025,reifen,9,Core-5000,de
4026,bekanntlich,9,Core-5000,de
4027,literatur,9,Core-5000,de
4028,interaktion,9,Core-5000,de
4029,konsum,9,Core-5000,de
4030,ali,9,Core-5000,de
4031,kompany,9,Core-5000,de
4032,teamkolleg,9,Core-5000,de
4033,ungarisch,9,Core-5000,de
4034,tötung,9,Core-5000,de
4035,schuh,9,Core-5000,de
4036,rechtsanwalt,9,Core-5000,de
4037,zulassen,9,Core-5000,de
4038,rauchen,9,Core-5000,de
4039,motivation,9,Core-5000,de
4040,regie,9,Core-5000,de
4041,südkorea,9,Core-5000,de
4042,spekulation,9,Core-5000,de
4043,lagern,9,Core-5000,de
4044,verwerten,9,Core-5000,de
4045,bedingt,9,Core-5000,de
4046,besorgen,9,Core-5000,de
4047,herzlich,9,Core-5000,de
4048,medaille,9,Core-5000,de
4049,hochtour,9,Core-5000,de
4050,power,9,Core-5000,de
4051,istanbul,9,Core-5000,de
4052,rheinland-pfalz,9,Core-5000,de
4053,regime,9,Core-5000,de
4054,unverändert,9,Core-5000,de
4055,günter,9,Core-5000,de
4056,aufsichtsrat,9,Core-5000,de
4057,werkstatt,9,Core-5000,de
4058,ausfall,9,Core-5000,de
4059,erhalt,9,Core-5000,de
4060,us,9,Core-5000,de
4061,genehmigen,9,Core-5000,de
4062,flächendeckend,9,Core-5000,de
4063,eva,9,Core-5000,de
4064,abwechslung,9,Core-5000,de
4065,gala,9,Core-5000,de
4066,klinikum,9,Core-5000,de
4067,steirisch,9,Core-5000,de
4068,geheimdienst,9,Core-5000,de
4069,interessent,9,Core-5000,de
4070,verbrauchen,9,Core-5000,de
4071,einbauen,9,Core-5000,de
4072,kriegen,9,Core-5000,de
4073,porsche,9,Core-5000,de
4074,ministerin,9,Core-5000,de
4075,entspannung,9,Core-5000,de
4076,tauschen,9,Core-5000,de
4077,energiewende,9,Core-5000,de
4078,erweiterung,9,Core-5000,de
4079,ägyptisch,9,Core-5000,de
4080,inspiration,9,Core-5000,de
4081,anreiz,9,Core-5000,de
4082,hinweisen,9,Core-5000,de
4083,tel,8,Core-5000,de
4084,niederschlag,8,Core-5000,de
4085,verbunden,8,Core-5000,de
4086,geheim,8,Core-5000,de
4087,stuhl,8,Core-5000,de
4088,immens,8,Core-5000,de
4089,piastri,8,Core-5000,de
4090,gönnen,8,Core-5000,de
4091,ahnen,8,Core-5000,de
4092,umbauen,8,Core-5000,de
4093,bär,8,Core-5000,de
4094,wiegen,8,Core-5000,de
4095,absicht,8,Core-5000,de
4096,babler,8,Core-5000,de
4097,abhängen,8,Core-5000,de
4098,kilo,8,Core-5000,de
4099,fraktionschef,8,Core-5000,de
4100,schweigen,8,Core-5000,de
4101,gewerbegebiet,8,Core-5000,de
4102,bakterie,8,Core-5000,de
4103,abgabe,8,Core-5000,de
4104,decke,8,Core-5000,de
4105,bergung,8,Core-5000,de
4106,freiwillige,8,Core-5000,de
4107,ähneln,8,Core-5000,de
4108,schlagzeile,8,Core-5000,de
4109,vorschlagen,8,Core-5000,de
4110,absturz,8,Core-5000,de
4111,beute,8,Core-5000,de
4112,hindeuten,8,Core-5000,de
4113,gegend,8,Core-5000,de
4114,nominieren,8,Core-5000,de
4115,thailand,8,Core-5000,de
4116,strasse,8,Core-5000,de
4117,landrat,8,Core-5000,de
4118,eu-weit,8,Core-5000,de
4119,anpassen,8,Core-5000,de
4120,zurücknehmen,8,Core-5000,de
4121,entführen,8,Core-5000,de
4122,alex,8,Core-5000,de
4123,freie,8,Core-5000,de
4124,etappe,8,Core-5000,de
4125,geschlossen,8,Core-5000,de
4126,infos,8,Core-5000,de
4127,spezialist,8,Core-5000,de
4128,speicher,8,Core-5000,de
4129,vielseitig,8,Core-5000,de
4130,frist,8,Core-5000,de
4131,null,8,Core-5000,de
4132,kölner,8,Core-5000,de
4133,äußerer,8,Core-5000,de
4134,herausfordernd,8,Core-5000,de
4135,fahrlässig,8,Core-5000,de
4136,gepäck,8,Core-5000,de
4137,umleitung,8,Core-5000,de
4138,krebs,8,Core-5000,de
4139,ausweichen,8,Core-5000,de
4140,hoffmann,8,Core-5000,de
4141,verpackung,8,Core-5000,de
4142,forum,8,Core-5000,de
4143,zügig,8,Core-5000,de
4144,einreise,8,Core-5000,de
4145,empfindlich,8,Core-5000,de
4146,ferien,8,Core-5000,de
4147,realisieren,8,Core-5000,de
4148,künstlerin,8,Core-5000,de
4149,schatten,8,Core-5000,de
4150,geschäftsführerin,8,Core-5000,de
4151,vitamin,8,Core-5000,de
4152,bas,8,Core-5000,de
4153,herrlich,8,Core-5000,de
4154,luxus,8,Core-5000,de
4155,nähern,8,Core-5000,de
4156,schlüpfen,8,Core-5000,de
4157,wöchentlich,8,Core-5000,de
4158,mailand,8,Core-5000,de
4159,dünn,8,Core-5000,de
4160,portion,8,Core-5000,de
4161,unwetter,8,Core-5000,de
4162,heimatstadt,8,Core-5000,de
4163,panzer,8,Core-5000,de
4164,nahegelegen,8,Core-5000,de
4165,athlet,8,Core-5000,de
4166,helikopter,8,Core-5000,de
4167,prime,8,Core-5000,de
4168,bundesstraße,8,Core-5000,de
4169,engländer,8,Core-5000,de
4170,schwedisch,8,Core-5000,de
4171,ausrücken,8,Core-5000,de
4172,donnerstagnachmittag,8,Core-5000,de
4173,paket,8,Core-5000,de
4174,raumfahrt,8,Core-5000,de
4175,lüdenscheid,8,Core-5000,de
4176,räumlichkeit,8,Core-5000,de
4177,rettungswag,8,Core-5000,de
4178,motorradfahrer,8,Core-5000,de
4179,transaktion,8,Core-5000,de
4180,mat,8,Core-5000,de
4181,kontrolliert,8,Core-5000,de
4182,santa,8,Core-5000,de
4183,innenministerium,8,Core-5000,de
4184,sarah,8,Core-5000,de
4185,aufwachsen,8,Core-5000,de
4186,urban,8,Core-5000,de
4187,hab,8,Core-5000,de
4188,grand,8,Core-5000,de
4189,neuauflage,8,Core-5000,de
4190,sprengen,8,Core-5000,de
4191,bonn,8,Core-5000,de
4192,potsdamer,8,Core-5000,de
4193,bielefeld,8,Core-5000,de
4194,fir,8,Core-5000,de
4195,fahne,8,Core-5000,de
4196,ökonomisch,8,Core-5000,de
4197,impuls,8,Core-5000,de
4198,streitigkeit,8,Core-5000,de
4199,entwendeten,8,Core-5000,de
4200,beendigung,8,Core-5000,de
4201,eu-land,8,Core-5000,de
4202,reife,8,Core-5000,de
4203,jäger,8,Core-5000,de
4204,gastronomie,8,Core-5000,de
4205,libanon,8,Core-5000,de
4206,nick,8,Core-5000,de
4207,unabhängigkeit,8,Core-5000,de
4208,zweistellig,8,Core-5000,de
4209,anwenden,8,Core-5000,de
4210,anbringen,8,Core-5000,de
4211,walter,8,Core-5000,de
4212,vereint,8,Core-5000,de
4213,unterer,8,Core-5000,de
4214,unerlaubt,8,Core-5000,de
4215,größtenteils,8,Core-5000,de
4216,wirklichkeit,8,Core-5000,de
4217,anzeichen,8,Core-5000,de
4218,ausverkauft,8,Core-5000,de
4219,appell,8,Core-5000,de
4220,pölten,8,Core-5000,de
4221,manuel,8,Core-5000,de
4222,meistens,8,Core-5000,de
4223,schneiden,8,Core-5000,de
4224,argentinien,8,Core-5000,de
4225,durchführung,8,Core-5000,de
4226,belle,8,Core-5000,de
4227,abbrechen,8,Core-5000,de
4228,bestaunen,8,Core-5000,de
4229,alias,8,Core-5000,de
4230,schauer,8,Core-5000,de
4231,pizza,8,Core-5000,de
4232,meghan,8,Core-5000,de
4233,jude,8,Core-5000,de
4234,hoffentlich,8,Core-5000,de
4235,stärkung,8,Core-5000,de
4236,fluss,8,Core-5000,de
4237,begrenzen,8,Core-5000,de
4238,betrunken,8,Core-5000,de
4239,nürnberger,8,Core-5000,de
4240,koch,8,Core-5000,de
4241,pünktlich,8,Core-5000,de
4242,weide,8,Core-5000,de
4243,zusammenhalt,8,Core-5000,de
4244,künstlerisch,8,Core-5000,de
4245,kirk,8,Core-5000,de
4246,texas,8,Core-5000,de
4247,leroy,8,Core-5000,de
4248,reparatur,8,Core-5000,de
4249,you,8,Core-5000,de
4250,spielerisch,8,Core-5000,de
4251,konstant,8,Core-5000,de
4252,cloud,8,Core-5000,de
4253,fett,8,Core-5000,de
4254,anordnung,8,Core-5000,de
4255,terrasse,8,Core-5000,de
4256,bildschirm,8,Core-5000,de
4257,slogan,8,Core-5000,de
4258,fox,8,Core-5000,de
4259,news,8,Core-5000,de
4260,monatelang,8,Core-5000,de
4261,regulierung,8,Core-5000,de
4262,berger,8,Core-5000,de
4263,infektion,8,Core-5000,de
4264,fussball,8,Core-5000,de
4265,handelskrieg,8,Core-5000,de
4266,vorliegend,8,Core-5000,de
4267,erdbeben,8,Core-5000,de
4268,entschlossen,8,Core-5000,de
4269,schröder,8,Core-5000,de
4270,weitergeben,8,Core-5000,de
4271,umbau,8,Core-5000,de
4272,brot,8,Core-5000,de
4273,reuters,8,Core-5000,de
4274,elfmeter,8,Core-5000,de
4275,stationieren,8,Core-5000,de
4276,zurückweisen,8,Core-5000,de
4277,auslöser,8,Core-5000,de
4278,wonach,8,Core-5000,de
4279,anonym,8,Core-5000,de
4280,unzureichend,8,Core-5000,de
4281,ankurbeln,8,Core-5000,de
4282,einbeziehen,8,Core-5000,de
4283,absichern,8,Core-5000,de
4284,sophia,8,Core-5000,de
4285,grundwasser,8,Core-5000,de
4286,amtierend,8,Core-5000,de
4287,burg,8,Core-5000,de
4288,kapelle,8,Core-5000,de
4289,big,8,Core-5000,de
4290,menschheit,8,Core-5000,de
4291,erholen,8,Core-5000,de
4292,unmöglich,8,Core-5000,de
4293,best,8,Core-5000,de
4294,feiertage,8,Core-5000,de
4295,jochen,8,Core-5000,de
4296,personalie,8,Core-5000,de
4297,geschlecht,8,Core-5000,de
4298,filiale,8,Core-5000,de
4299,watt,8,Core-5000,de
4300,abschleppen,8,Core-5000,de
4301,supermärkt,8,Core-5000,de
4302,rettung,8,Core-5000,de
4303,wanderung,8,Core-5000,de
4304,schranke,8,Core-5000,de
4305,menschenrecht,8,Core-5000,de
4306,beck,8,Core-5000,de
4307,auswählen,8,Core-5000,de
4308,blut,8,Core-5000,de
4309,schlotterbeck,8,Core-5000,de
4310,start-ups,8,Core-5000,de
4311,billig,8,Core-5000,de
4312,umwelt,8,Core-5000,de
4313,beleuchtung,8,Core-5000,de
4314,pistorius,8,Core-5000,de
4315,sparkasse,8,Core-5000,de
4316,malen,8,Core-5000,de
4317,absperren,8,Core-5000,de
4318,strukturell,8,Core-5000,de
4319,bevorstehend,8,Core-5000,de
4320,robin,8,Core-5000,de
4321,beweglich,8,Core-5000,de
4322,heutzutage,8,Core-5000,de
4323,nina,8,Core-5000,de
4324,erneuern,8,Core-5000,de
4325,kläger,8,Core-5000,de
4326,zahlung,8,Core-5000,de
4327,sap,8,Core-5000,de
4328,einhaltung,8,Core-5000,de
4329,gerissen,8,Core-5000,de
4330,erfreulich,8,Core-5000,de
4331,pendler,8,Core-5000,de
4332,zwischendurch,8,Core-5000,de
4333,unterbrechen,8,Core-5000,de
4334,kantonspolizei,8,Core-5000,de
4335,betrüger,8,Core-5000,de
4336,verwandte,8,Core-5000,de
4337,verzweifelt,8,Core-5000,de
4338,ersatz,8,Core-5000,de
4339,unzufrieden,8,Core-5000,de
4340,gefüllt,8,Core-5000,de
4341,binnen,8,Core-5000,de
4342,überfall,8,Core-5000,de
4343,holding,8,Core-5000,de
4344,akku,8,Core-5000,de
4345,gewählt,8,Core-5000,de
4346,wirtz,8,Core-5000,de
4347,höchstens,8,Core-5000,de
4348,bescheiden,8,Core-5000,de
4349,jederzeit,8,Core-5000,de
4350,trauer,8,Core-5000,de
4351,kapitel,8,Core-5000,de
4352,aufbau,8,Core-5000,de
4353,treu,8,Core-5000,de
4354,erobern,8,Core-5000,de
4355,samstagnachmittag,8,Core-5000,de
4356,stadtpolitik,8,Core-5000,de
4357,brannen,8,Core-5000,de
4358,winterlich,8,Core-5000,de
