rank,lemma,frequency,core_band,language
3001,händler,12,Core-4000,de
3002,binden,12,Core-4000,de
3003,auflage,12,Core-4000,de
3004,elektronisch,12,Core-4000,de
3005,liverpool,12,Core-4000,de
3006,erweitert,12,Core-4000,de
3007,inneren,12,Core-4000,de
3008,bestens,12,Core-4000,de
3009,kärnten,12,Core-4000,de
3010,wm,12,Core-4000,de
3011,katar,12,Core-4000,de
3012,begründung,12,Core-4000,de
3013,bestandteil,12,Core-4000,de
3014,epstein,12,Core-4000,de
3015,rasen,12,Core-4000,de
3016,durchsuchen,12,Core-4000,de
3017,island,12,Core-4000,de
3018,berater,12,Core-4000,de
3019,beweis,12,Core-4000,de
3020,lücke,12,Core-4000,de
3021,interessieren,12,Core-4000,de
3022,verlässt,12,Core-4000,de
3023,erkunden,12,Core-4000,de
3024,unterhaltung,12,Core-4000,de
3025,gefallen,12,Core-4000,de
3026,schneider,12,Core-4000,de
3027,tourismus,12,Core-4000,de
3028,luftraum,12,Core-4000,de
3029,pariser,12,Core-4000,de
3030,vance,12,Core-4000,de
3031,lisa,12,Core-4000,de
3032,unterhalb,12,Core-4000,de
3033,abstellen,12,Core-4000,de
3034,dahin,12,Core-4000,de
3035,auffallen,12,Core-4000,de
3036,dienstagabend,12,Core-4000,de
3037,formel,12,Core-4000,de
3038,effektiv,12,Core-4000,de
3039,abhängig,12,Core-4000,de
3040,aufsehen,12,Core-4000,de
3041,innovativ,12,Core-4000,de
3042,et,12,Core-4000,de
3043,anwesend,12,Core-4000,de
3044,prompt,12,Core-4000,de
3045,einkommen,12,Core-4000,de
3046,mittag,12,Core-4000,de
3047,beschluss,12,Core-4000,de
3048,musks,12,Core-4000,de
3049,polizeisprecher,12,Core-4000,de
3050,fisch,12,Core-4000,de
3051,klettern,12,Core-4000,de
3052,bier,12,Core-4000,de
3053,mallorca,12,Core-4000,de
3054,kicker,12,Core-4000,de
3055,beschuldigter,12,Core-4000,de
3056,vortag,12,Core-4000,de
3057,one,12,Core-4000,de
3058,anforderung,12,Core-4000,de
3059,rechtzeitig,12,Core-4000,de
3060,ägypten,12,Core-4000,de
3061,burgenland,12,Core-4000,de
3062,anstehend,12,Core-4000,de
3063,em,12,Core-4000,de
3064,zufall,12,Core-4000,de
3065,rumänien,12,Core-4000,de
3066,überlegung,12,Core-4000,de
3067,drohend,12,Core-4000,de
3068,nachweisen,12,Core-4000,de
3069,bestätigung,12,Core-4000,de
3070,vorsichtig,12,Core-4000,de
3071,dankbar,12,Core-4000,de
3072,annahme,12,Core-4000,de
3073,neue,12,Core-4000,de
3074,spahn,12,Core-4000,de
3075,einstufen,12,Core-4000,de
3076,haltestelle,12,Core-4000,de
3077,verkehrsmittel,12,Core-4000,de
3078,visier,12,Core-4000,de
3079,import,12,Core-4000,de
3080,entziehen,12,Core-4000,de
3081,stabilisieren,12,Core-4000,de
3082,kabinett,12,Core-4000,de
3083,leidenschaft,12,Core-4000,de
3084,design,12,Core-4000,de
3085,eindrucksvoll,12,Core-4000,de
3086,voraus,12,Core-4000,de
3087,regisseur,12,Core-4000,de
3088,lar,12,Core-4000,de
3089,österreicher,12,Core-4000,de
3090,not,12,Core-4000,de
3091,trier,12,Core-4000,de
3092,hochzeit,12,Core-4000,de
3093,drauf,12,Core-4000,de
3094,eskalation,12,Core-4000,de
3095,tatsache,12,Core-4000,de
3096,stehend,12,Core-4000,de
3097,cannabis,12,Core-4000,de
3098,scheibe,12,Core-4000,de
3099,ernsthaft,12,Core-4000,de
3100,berühmt,12,Core-4000,de
3101,kim,12,Core-4000,de
3102,kredit,12,Core-4000,de
3103,beschlagnahmen,12,Core-4000,de
3104,wodurch,12,Core-4000,de
3105,höchst,12,Core-4000,de
3106,geltend,12,Core-4000,de
3107,träumen,12,Core-4000,de
3108,nachts,12,Core-4000,de
3109,promille,12,Core-4000,de
3110,us-bundesstaat,12,Core-4000,de
3111,kalifornien,12,Core-4000,de
3112,kitas,12,Core-4000,de
3113,konfrontieren,12,Core-4000,de
3114,niemals,12,Core-4000,de
3115,dunkelheit,12,Core-4000,de
3116,dortig,12,Core-4000,de
